                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1826,                 1.8241,                 1.3122,                0.65651,                0.80435,                0.77038,                0.58769,                0.65772,                 3.3415,                0.88176,                0.00012,                0.00012,                0.00012
                      2,                  1.067,                 1.1008,                 1.2023,                 0.7042,                0.80435,                0.82006,                0.58575,                 0.9838,                 2.9603,                 1.0453,              0.0002497,              0.0002497,              0.0002497
                      3,                 1.0602,                0.97114,                 1.1434,                 0.6121,                0.85768,                0.75994,                0.52013,                0.92671,                 1.6866,                  1.018,             0.00036832,             0.00036832,             0.00036832
                      4,                 0.9548,                0.83169,                 1.1327,                0.66044,                0.95652,                0.91957,                0.73039,                0.85507,                 2.7254,                  1.015,             0.00047585,             0.00047585,             0.00047585
                      5,                 0.9837,                0.83319,                 1.1546,                0.76326,                0.86957,                0.87033,                0.67405,                 0.9245,                  1.749,                 1.0926,             0.00057229,             0.00057229,             0.00057229
                      6,                0.92972,                0.71468,                 1.1418,                0.77889,                0.86957,                0.86075,                0.59879,                 1.0645,                  2.908,                 1.2296,             0.00065764,             0.00065764,             0.00065764
                      7,                0.97826,                0.79174,                 1.2067,                0.93462,                0.84783,                0.86254,                0.62068,                 1.0115,                 1.3004,                 1.4657,              0.0007319,              0.0007319,              0.0007319
                      8,                0.92483,                 0.7032,                 1.1228,                0.80609,                0.82609,                0.82661,                0.56028,                 1.1634,                 1.4952,                 1.5523,             0.00079508,             0.00079508,             0.00079508
                      9,                0.92878,                0.74384,                  1.107,                0.73793,                0.58696,                0.70578,                0.48238,                 1.2184,                 1.3366,                 1.3514,             0.00084717,             0.00084717,             0.00084717
                     10,                 0.9726,                0.72676,                 1.1555,                0.78959,                0.80435,                0.82686,                0.56879,                 1.2223,                 1.9761,                 1.4652,             0.00088817,             0.00088817,             0.00088817
                     11,                0.90478,                 0.6225,                 1.1231,                0.72727,                0.80435,                0.83454,                0.50567,                 1.2942,                 2.3074,                 1.5116,             0.00091808,             0.00091808,             0.00091808
                     12,                  0.934,                0.67026,                 1.1465,                0.80726,                0.91057,                0.90322,                0.57464,                 1.1789,                 1.2862,                    1.5,              0.0009369,              0.0009369,              0.0009369
                     13,                0.92386,                 0.6939,                 1.1258,                0.74684,                0.80435,                 0.7968,                0.51143,                 1.1636,                 1.2881,                 1.5183,             0.00094464,             0.00094464,             0.00094464
                     14,                0.94647,                0.69113,                 1.1712,                 0.6951,                0.91304,                0.82976,                0.49777,                 1.1698,                 1.1981,                 1.6293,             0.00094129,             0.00094129,             0.00094129
                     15,                0.99494,                0.75981,                 1.1698,                0.83172,                 0.8913,                0.90509,                0.61709,                 1.1463,                 1.1525,                 1.6227,              0.0008912,              0.0008912,              0.0008912
                     16,                0.80939,                0.80368,                 1.1293,                0.79116,                0.86957,                0.88356,                0.58685,                 1.1397,                0.91583,                 1.5725,              0.0008912,              0.0008912,              0.0008912
                     17,                0.78961,                0.71039,                 1.0699,                0.80699,                0.82609,                0.87356,                0.59387,                  1.064,                0.97764,                 1.5608,               0.000812,               0.000812,               0.000812
                     18,                0.77373,                0.70029,                 1.0597,                0.74691,                0.83413,                0.83262,                0.55336,                 1.2548,                0.96122,                  1.852,              0.0007328,              0.0007328,              0.0007328
                     19,                0.76467,                0.61493,                  1.016,                0.79319,                0.91723,                0.89452,                0.63379,                 1.0198,                0.83011,                 1.5014,              0.0006536,              0.0006536,              0.0006536
                     20,                0.71577,                0.59429,                 1.0512,                0.94705,                0.86957,                0.92271,                0.66617,                 1.0321,                 1.1002,                 1.4609,              0.0005744,              0.0005744,              0.0005744
                     21,                0.73726,                0.56832,                 1.0663,                0.95027,                0.83082,                 0.9133,                0.67212,                0.99305,                0.95262,                 1.4351,              0.0004952,              0.0004952,              0.0004952
                     22,                0.69287,                0.52885,                 1.0517,                0.88994,                0.84783,                0.91549,                0.65746,                 1.1215,                0.82289,                 1.5562,               0.000416,               0.000416,               0.000416
                     23,                0.71681,                0.54931,                 1.0101,                0.87944,                0.79304,                0.87817,                0.64503,                 1.0939,                0.84577,                 1.4539,              0.0003368,              0.0003368,              0.0003368
                     24,                0.64482,                0.47774,                 1.0038,                0.86718,                0.91304,                0.91284,                0.66339,                0.98698,                0.79427,                 1.3742,              0.0002576,              0.0002576,              0.0002576
                     25,                0.62416,                0.47416,                 0.9714,                0.95058,                0.83651,                0.91743,                0.68522,                0.94705,                0.77603,                 1.3507,              0.0001784,              0.0001784,              0.0001784
